,Open,High,Low,Close,Volume
2019.03.29,1289.14000,1299.80000,1286.76000,1292.26000,182674,0
2019.04.01,1292.18000,1297.03000,1286.51000,1287.62000,165436,0
2019.04.02,1286.89000,1292.59000,1285.30000,1292.40000,142275,0
2019.04.03,1291.49000,1294.61000,1288.42000,1289.82000,143016,0
2019.04.04,1289.08000,1294.41000,1280.88000,1292.20000,133332,0
2019.04.05,1291.52000,1293.63000,1284.43000,1291.61000,142862,0
2019.04.08,1291.63000,1303.72000,1291.43000,1297.39000,119994,0
2019.04.09,1296.67000,1306.18000,1296.59000,1304.04000,130751,0
2019.04.10,1303.22000,1310.60000,1300.93000,1308.01000,140196,0
2019.04.11,1307.61000,1309.20000,1289.65000,1292.58000,148840,0
2019.04.12,1291.50000,1295.77000,1290.06000,1290.62000,134657,0
2019.04.15,1290.86000,1291.96000,1282.54000,1287.87000,127783,0
2019.04.16,1287.15000,1288.75000,1272.99000,1276.78000,150710,0
2019.04.17,1275.89000,1279.79000,1273.02000,1273.98000,137522,0
2019.04.18,1272.46000,1277.67000,1271.15000,1275.45000,135786,0
2019.04.22,1275.59000,1279.82000,1273.83000,1274.85000,92853,0
2019.04.23,1274.93000,1276.51000,1266.33000,1272.17000,127356,0
2019.04.24,1272.18000,1278.58000,1268.77000,1275.59000,140739,0
2019.04.25,1274.61000,1282.60000,1273.38000,1277.16000,142659,0
2019.04.26,1276.94000,1288.70000,1273.95000,1286.10000,157130,0
2019.04.29,1286.09000,1286.88000,1278.07000,1279.78000,123273,0
2019.04.30,1279.82000,1286.23000,1279.74000,1283.43000,149839,0
2019.05.01,1282.48000,1287.23000,1272.96000,1276.62000,148790,0
2019.05.02,1277.00000,1278.04000,1266.29000,1270.45000,149012,0
2019.05.03,1270.49000,1282.57000,1268.19000,1279.14000,139797,0
2019.05.06,1280.84000,1285.78000,1277.03000,1280.37000,155207,0
2019.05.07,1281.10000,1286.09000,1278.23000,1284.35000,147478,0
2019.05.08,1284.09000,1291.49000,1279.37000,1280.78000,148622,0
2019.05.09,1280.25000,1288.23000,1279.64000,1283.88000,164186,0
2019.05.10,1284.00000,1289.40000,1283.18000,1285.77000,164542,0
2019.05.13,1287.60000,1301.26000,1282.00000,1299.76000,156628,0
2019.05.14,1299.43000,1303.31000,1293.73000,1296.89000,122148,0
2019.05.15,1297.10000,1300.88000,1293.05000,1296.46000,131341,0
2019.05.16,1296.12000,1298.73000,1284.08000,1286.59000,126116,0
2019.05.17,1285.89000,1288.93000,1274.84000,1277.59000,140742,0
2019.05.20,1277.41000,1279.05000,1273.68000,1277.73000,202867,0
2019.05.21,1276.66000,1277.95000,1269.55000,1274.75000,189276,0
2019.05.22,1274.24000,1277.32000,1272.51000,1273.35000,192643,0
2019.05.23,1273.35000,1287.31000,1272.86000,1283.42000,257439,0
2019.05.24,1283.36000,1285.27000,1280.79000,1284.89000,199313,0
2019.05.27,1283.89000,1287.41000,1283.64000,1285.01000,98103,0
2019.05.28,1285.03000,1286.64000,1276.15000,1279.36000,200996,0
2019.05.29,1279.14000,1285.59000,1279.03000,1279.84000,248382,0
2019.05.30,1279.62000,1289.22000,1275.05000,1288.41000,244356,0
2019.05.31,1288.17000,1306.96000,1288.03000,1305.27000,277221,0
2019.06.03,1307.00000,1328.01000,1306.06000,1324.76000,232373,0
2019.06.04,1324.06000,1329.09000,1320.01000,1325.29000,213166,0
2019.06.05,1324.11000,1344.09000,1324.09000,1330.25000,257392,0
2019.06.06,1331.23000,1339.80000,1327.28000,1335.47000,228027,0
2019.06.07,1335.56000,1348.25000,1330.33000,1340.38000,188697,0
2019.06.10,1336.09000,1337.76000,1325.14000,1327.99000,166558,0
2019.06.11,1328.00000,1329.89000,1319.98000,1326.78000,158515,0
2019.06.12,1327.18000,1338.38000,1326.05000,1333.52000,168804,0
2019.06.13,1333.48000,1343.15000,1332.43000,1341.99000,162358,0
2019.06.14,1342.41000,1358.19000,1337.87000,1341.12000,218969,0
2019.06.17,1341.81000,1343.59000,1333.03000,1339.68000,166231,0
2019.06.18,1339.27000,1354.69000,1338.67000,1346.66000,218727,0
2019.06.19,1346.70000,1362.58000,1341.37000,1360.33000,213640,0
2019.06.20,1360.43000,1394.30000,1357.73000,1388.38000,340952,0
2019.06.21,1387.28000,1411.85000,1382.56000,1398.95000,359980,0
2019.06.24,1400.25000,1421.49000,1399.86000,1419.41000,514018,0
2019.06.25,1418.73000,1439.26000,1411.97000,1423.23000,820084,0
2019.06.26,1423.12000,1424.43000,1401.78000,1409.02000,655236,0
2019.06.27,1408.37000,1412.17000,1398.66000,1409.87000,486002,0
2019.06.28,1408.75000,1424.70000,1405.70000,1410.06000,462250,0
2019.07.01,1397.52000,1397.80000,1381.81000,1384.22000,459855,0
2019.07.02,1382.67000,1420.98000,1382.67000,1418.01000,385648,0
2019.07.03,1420.71000,1437.78000,1412.15000,1418.64000,489826,0
2019.07.04,1418.71000,1421.70000,1410.19000,1415.13000,169443,0
2019.07.05,1416.63000,1424.22000,1386.68000,1398.37000,432058,0
2019.07.08,1398.32000,1407.64000,1391.72000,1395.27000,297914,0
2019.07.09,1395.23000,1400.08000,1385.73000,1397.55000,281715,0
2019.07.10,1397.40000,1418.96000,1389.92000,1418.84000,368095,0
2019.07.11,1418.86000,1427.24000,1400.88000,1403.73000,454467,0
2019.07.12,1404.13000,1417.00000,1403.16000,1415.05000,347465,0
2019.07.15,1415.73000,1419.79000,1407.77000,1413.83000,307621,0
2019.07.16,1413.99000,1418.27000,1400.87000,1405.78000,430026,0
2019.07.17,1406.25000,1426.80000,1400.09000,1426.15000,421536,0
2019.07.18,1426.73000,1448.14000,1414.65000,1446.08000,650801,0
2019.07.19,1445.48000,1452.97000,1420.27000,1424.98000,734370,0
2019.07.22,1427.05000,1430.05000,1422.26000,1424.63000,439896,0
